model,model_name,epoch,training_epochs_planned,validation_exact_count,validation_n,validation_exact_percent,average_string_similarity_percent,selected_epoch,source_log
09_tree_vae_epoch80,TreeVAE-80,920,1000,6,2178,0.28000000000000003,53.210000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,930,1000,8,2178,0.37,53.18,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,940,1000,4,2178,0.17999999999999999,53.859999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,950,1000,5,2178,0.23000000000000001,53.420000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,960,1000,3,2178,0.14000000000000001,53.520000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,970,1000,6,2178,0.28000000000000003,53.43,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,980,1000,6,2178,0.28000000000000003,53.759999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,990,1000,6,2178,0.28000000000000003,52.75,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,1000,1000,8,2178,0.37,53.270000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
10_transformer_vae_epoch90,TransformerVAE-90,1,1000,0,2178,0,44.829999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,10,1000,3,2178,0.14000000000000001,49.780000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,20,1000,17,2178,0.78000000000000003,51.270000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,30,1000,27,2178,1.24,52.789999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,40,1000,14,2178,0.64000000000000001,53.280000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,50,1000,39,2178,1.79,53.740000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,60,1000,41,2178,1.8799999999999999,54.149999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,70,1000,33,2178,1.52,54.32,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,80,1000,44,2178,2.02,54.359999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,90,1000,48,2178,2.2000000000000002,55.280000000000001,yes,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,100,1000,38,2178,1.74,53.950000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,110,1000,32,2178,1.47,54.520000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,120,1000,34,2178,1.5600000000000001,54.210000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,130,1000,41,2178,1.8799999999999999,54.289999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,140,1000,36,2178,1.6499999999999999,54.439999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,150,1000,38,2178,1.74,54.399999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,160,1000,37,2178,1.7,54.789999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,170,1000,37,2178,1.7,54.509999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,180,1000,35,2178,1.6100000000000001,54.310000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,190,1000,26,2178,1.1899999999999999,54.57,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,200,1000,36,2178,1.6499999999999999,54.380000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,210,1000,23,2178,1.0600000000000001,54.469999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,220,1000,23,2178,1.0600000000000001,54.270000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,230,1000,15,2178,0.68999999999999995,54.030000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,240,1000,23,2178,1.0600000000000001,54.659999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,250,1000,23,2178,1.0600000000000001,54.469999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,260,1000,23,2178,1.0600000000000001,54.060000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,270,1000,20,2178,0.92000000000000004,54.369999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,280,1000,22,2178,1.01,53.799999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,290,1000,18,2178,0.82999999999999996,53.859999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,300,1000,10,2178,0.46000000000000002,53.689999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,310,1000,20,2178,0.92000000000000004,53.960000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,320,1000,16,2178,0.72999999999999998,53.780000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,330,1000,8,2178,0.37,53.659999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,340,1000,15,2178,0.68999999999999995,53.409999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
